datetime_utc,open,high,low,close,volume
2024-12-01T00:00:00.000Z,3703.59000000,3704.63000000,3703.50000000,3704.05000000,197.70990000
2024-12-01T00:01:00.000Z,3704.06000000,3706.97000000,3703.84000000,3706.34000000,208.70540000
2024-12-01T00:02:00.000Z,3706.33000000,3711.00000000,3705.83000000,3711.00000000,329.26820000
2024-12-01T00:03:00.000Z,3710.99000000,3715.47000000,3709.35000000,3714.82000000,309.10130000
2024-12-01T00:04:00.000Z,3714.83000000,3714.83000000,3713.27000000,3713.32000000,277.05720000
2024-12-01T00:05:00.000Z,3713.33000000,3713.33000000,3710.00000000,3710.02000000,240.33310000
2024-12-01T00:06:00.000Z,3710.01000000,3712.41000000,3710.01000000,3710.22000000,272.79620000
2024-12-01T00:07:00.000Z,3710.21000000,3714.13000000,3710.21000000,3712.71000000,271.70320000
2024-12-01T00:08:00.000Z,3712.70000000,3712.70000000,3711.66000000,3712.60000000,217.38290000
2024-12-01T00:09:00.000Z,3712.60000000,3715.00000000,3711.19000000,3714.99000000,147.27460000
2024-12-01T00:10:00.000Z,3715.00000000,3718.12000000,3714.26000000,3718.11000000,323.55780000
2024-12-01T00:11:00.000Z,3718.11000000,3719.77000000,3717.50000000,3719.49000000,375.10300000
2024-12-01T00:12:00.000Z,3719.48000000,3722.00000000,3719.48000000,3721.99000000,161.58740000
2024-12-01T00:13:00.000Z,3721.99000000,3722.33000000,3719.48000000,3721.61000000,525.50550000
2024-12-01T00:14:00.000Z,3721.60000000,3726.98000000,3721.60000000,3726.96000000,464.29520000
2024-12-01T00:15:00.000Z,3726.96000000,3726.96000000,3722.18000000,3724.99000000,388.19220000
2024-12-01T00:16:00.000Z,3724.99000000,3725.00000000,3722.23000000,3722.23000000,185.78170000
2024-12-01T00:17:00.000Z,3722.23000000,3722.23000000,3715.20000000,3717.59000000,300.58930000
2024-12-01T00:18:00.000Z,3717.59000000,3720.23000000,3716.00000000,3720.19000000,323.86180000
2024-12-01T00:19:00.000Z,3720.20000000,3726.59000000,3719.06000000,3726.58000000,508.13430000
2024-12-01T00:20:00.000Z,3726.59000000,3726.59000000,3722.60000000,3724.39000000,275.45480000
2024-12-01T00:21:00.000Z,3724.39000000,3725.79000000,3722.19000000,3722.19000000,210.18230000
2024-12-01T00:22:00.000Z,3722.19000000,3722.19000000,3717.73000000,3722.19000000,170.97210000
2024-12-01T00:23:00.000Z,3722.18000000,3722.18000000,3718.63000000,3719.34000000,346.66550000
2024-12-01T00:24:00.000Z,3719.33000000,3723.50000000,3719.33000000,3723.50000000,241.84830000
2024-12-01T00:25:00.000Z,3723.49000000,3726.96000000,3721.89000000,3726.95000000,362.14330000
2024-12-01T00:26:00.000Z,3726.95000000,3727.42000000,3722.85000000,3722.85000000,297.64070000
2024-12-01T00:27:00.000Z,3722.85000000,3727.00000000,3721.60000000,3725.61000000,289.22230000
2024-12-01T00:28:00.000Z,3725.60000000,3726.24000000,3724.50000000,3724.95000000,124.74940000
2024-12-01T00:29:00.000Z,3724.94000000,3724.95000000,3721.24000000,3721.82000000,211.87490000
2024-12-01T00:30:00.000Z,3721.82000000,3723.44000000,3720.86000000,3721.40000000,84.75470000
2024-12-01T00:31:00.000Z,3721.33000000,3721.33000000,3718.40000000,3718.41000000,227.36820000
2024-12-01T00:32:00.000Z,3718.41000000,3722.14000000,3717.23000000,3721.50000000,135.51910000
2024-12-01T00:33:00.000Z,3721.50000000,3724.20000000,3720.50000000,3723.62000000,338.67910000
2024-12-01T00:34:00.000Z,3723.61000000,3723.61000000,3722.00000000,3722.01000000,130.00180000
2024-12-01T00:35:00.000Z,3722.02000000,3722.87000000,3720.00000000,3721.71000000,181.16350000
2024-12-01T00:36:00.000Z,3721.71000000,3721.71000000,3716.00000000,3716.39000000,281.42950000
2024-12-01T00:37:00.000Z,3716.39000000,3718.77000000,3711.80000000,3713.08000000,536.43500000
2024-12-01T00:38:00.000Z,3713.09000000,3713.09000000,3710.50000000,3711.81000000,193.82530000
2024-12-01T00:39:00.000Z,3711.81000000,3714.27000000,3710.92000000,3713.59000000,281.67070000
2024-12-01T00:40:00.000Z,3713.59000000,3714.38000000,3710.29000000,3710.90000000,303.66300000
2024-12-01T00:41:00.000Z,3710.91000000,3710.91000000,3702.06000000,3702.20000000,944.08600000
2024-12-01T00:42:00.000Z,3702.21000000,3703.59000000,3700.34000000,3701.60000000,871.58340000
