datetime_utc,open,high,low,close,volume
2025-07-01T00:00:00.000Z,2485.47000000,2486.66000000,2484.81000000,2484.82000000,237.24890000
2025-07-01T00:01:00.000Z,2484.82000000,2487.35000000,2484.81000000,2487.35000000,464.05870000
2025-07-01T00:02:00.000Z,2487.35000000,2489.64000000,2486.95000000,2489.62000000,204.96500000
2025-07-01T00:03:00.000Z,2489.62000000,2489.84000000,2488.87000000,2488.87000000,121.21320000
2025-07-01T00:04:00.000Z,2488.87000000,2489.17000000,2486.40000000,2487.32000000,303.98430000
2025-07-01T00:05:00.000Z,2487.33000000,2487.62000000,2485.07000000,2485.65000000,116.31360000
2025-07-01T00:06:00.000Z,2485.65000000,2487.89000000,2485.57000000,2487.57000000,125.24900000
2025-07-01T00:07:00.000Z,2487.57000000,2488.38000000,2487.20000000,2488.38000000,86.80560000
2025-07-01T00:08:00.000Z,2488.38000000,2490.81000000,2488.38000000,2490.80000000,112.33280000
2025-07-01T00:09:00.000Z,2490.81000000,2494.68000000,2490.81000000,2494.24000000,722.01200000
2025-07-01T00:10:00.000Z,2494.25000000,2494.99000000,2491.98000000,2492.45000000,823.50910000
2025-07-01T00:11:00.000Z,2492.44000000,2492.84000000,2491.48000000,2492.84000000,204.96100000
2025-07-01T00:12:00.000Z,2492.84000000,2493.19000000,2492.35000000,2492.52000000,111.39330000
2025-07-01T00:13:00.000Z,2492.52000000,2493.99000000,2492.52000000,2493.10000000,172.02660000
2025-07-01T00:14:00.000Z,2493.10000000,2493.66000000,2493.10000000,2493.12000000,202.22440000
2025-07-01T00:15:00.000Z,2493.13000000,2494.02000000,2493.12000000,2493.65000000,144.01690000
2025-07-01T00:16:00.000Z,2493.66000000,2495.63000000,2493.65000000,2495.23000000,257.15600000
2025-07-01T00:17:00.000Z,2495.23000000,2496.65000000,2493.17000000,2493.32000000,302.86160000
2025-07-01T00:18:00.000Z,2493.32000000,2494.20000000,2492.84000000,2493.45000000,154.86810000
2025-07-01T00:19:00.000Z,2493.46000000,2493.57000000,2493.11000000,2493.57000000,95.10240000
2025-07-01T00:20:00.000Z,2493.57000000,2494.84000000,2493.33000000,2493.33000000,225.01160000
2025-07-01T00:21:00.000Z,2493.34000000,2493.70000000,2492.49000000,2493.70000000,189.35960000
2025-07-01T00:22:00.000Z,2493.70000000,2493.71000000,2492.00000000,2492.02000000,146.48750000
2025-07-01T00:23:00.000Z,2492.03000000,2492.03000000,2489.94000000,2491.03000000,157.64320000
2025-07-01T00:24:00.000Z,2491.02000000,2491.02000000,2487.25000000,2487.25000000,190.57360000
2025-07-01T00:25:00.000Z,2487.25000000,2487.26000000,2484.28000000,2486.55000000,574.47860000
2025-07-01T00:26:00.000Z,2486.55000000,2486.83000000,2485.67000000,2485.68000000,146.15170000
2025-07-01T00:27:00.000Z,2485.68000000,2486.69000000,2485.67000000,2486.39000000,95.67910000
2025-07-01T00:28:00.000Z,2486.40000000,2486.67000000,2485.68000000,2485.99000000,119.98950000
2025-07-01T00:29:00.000Z,2486.00000000,2486.22000000,2484.47000000,2484.47000000,99.77270000
2025-07-01T00:30:00.000Z,2484.48000000,2484.68000000,2478.39000000,2479.14000000,1797.03350000
2025-07-01T00:31:00.000Z,2479.14000000,2480.69000000,2478.78000000,2479.52000000,312.21590000
2025-07-01T00:32:00.000Z,2479.53000000,2480.43000000,2479.53000000,2480.43000000,195.59520000
2025-07-01T00:33:00.000Z,2480.42000000,2480.42000000,2477.44000000,2479.35000000,420.09320000
2025-07-01T00:34:00.000Z,2479.36000000,2483.17000000,2479.36000000,2483.17000000,121.33180000
2025-07-01T00:35:00.000Z,2483.18000000,2488.12000000,2483.18000000,2487.36000000,298.89360000
2025-07-01T00:36:00.000Z,2487.37000000,2488.19000000,2485.54000000,2485.59000000,221.35110000
2025-07-01T00:37:00.000Z,2485.59000000,2486.01000000,2484.20000000,2486.01000000,155.93820000
2025-07-01T00:38:00.000Z,2486.01000000,2487.19000000,2485.61000000,2486.17000000,160.62490000
2025-07-01T00:39:00.000Z,2486.16000000,2487.45000000,2485.61000000,2485.61000000,175.86430000
2025-07-01T00:40:00.000Z,2485.61000000,2486.13000000,2485.53000000,2485.54000000,41.05960000
2025-07-01T00:41:00.000Z,2485.53000000,2486.71000000,2485.51000000,2486.49000000,94.70040000
2025-07-01T00:42:00.000Z,2486.50000000,2488.77000000,2486.50000000,2488.76000000,80.01430000
2025-07-01T00:43:00.000Z,2488.76000000,2489.27000000,2488.36000000,2488.38000000,177.67360000
2025-07-01T00:44:00.000Z,2488.37000000,2488.83000000,2487.78000000,2488.79000000,82.98970000
2025-07-01T00:45:00.000Z,2488.80000000,2491.78000000,2488.79000000,2491.03000000,278.87970000
2025-07-01T00:46:00.000Z,2491.03000000,2492.19000000,2491.02000000,2491.19000000,174.97960000
2025-07-01T00:47:00.000Z,2491.20000000,2491.85000000,2490.83000000,2491.53000000,171.58470000
2025-07-01T00:48:00.000Z,2491.53000000,2491.84000000,2491.40000000,2491.40000000,176.68020000
2025-07-01T00:49:00.000Z,2491.40000000,2491.40000000,2490.00000000,2490.31000000,55.02380000
2025-07-01T00:50:00.000Z,2490.30000000,2490.68000000,2490.30000000,2490.49000000,29.92950000
2025-07-01T00:51:00.000Z,2490.50000000,2492.66000000,2490.49000000,2492.30000000,177.05360000
2025-07-01T00:52:00.000Z,2492.29000000,2494.65000000,2492.29000000,2494.64000000,144.25110000
2025-07-01T00:53:00.000Z,2494.65000000,2494.65000000,2492.63000000,2492.64000000,223.13230000
2025-07-01T00:54:00.000Z,2492.63000000,2493.59000000,2492.17000000,2493.18000000,153.78580000
2025-07-01T00:55:00.000Z,2493.19000000,2493.19000000,2492.82000000,2492.82000000,189.77200000
2025-07-01T00:56:00.000Z,2492.83000000,2493.01000000,2491.26000000,2492.06000000,122.94550000
2025-07-01T00:57:00.000Z,2492.06000000,2492.07000000,2491.80000000,2491.80000000,164.82960000
2025-07-01T00:58:00.000Z,2491.81000000,2492.29000000,2491.71000000,2492.29000000,80.77270000
2025-07-01T00:59:00.000Z,2492.29000000,2493.35000000,2492.28000000,2493.35000000,206.58790000
2025-07-01T01:00:00.000Z,2493.35000000,2494.12000000,2492.78000000,2494.12000000,101.38120000
2025-07-01T01:01:00.000Z,2494.13000000,2494.13000000,2493.38000000,2493.84000000,88.55790000
2025-07-01T01:02:00.000Z,2493.85000000,2494.18000000,2492.85000000,2492.88000000,178.82770000
2025-07-01T01:03:00.000Z,2492.88000000,2493.77000000,2492.84000000,2493.76000000,92.42510000
2025-07-01T01:04:00.000Z,2493.76000000,2493.76000000,2490.55000000,2492.73000000,264.92580000
2025-07-01T01:05:00.000Z,2492.74000000,2493.83000000,2491.56000000,2491.85000000,62.93530000
2025-07-01T01:06:00.000Z,2491.85000000,2494.07000000,2491.31000000,2493.99000000,584.21210000
2025-07-01T01:07:00.000Z,2494.00000000,2494.41000000,2492.67000000,2493.10000000,197.19200000
2025-07-01T01:08:00.000Z,2493.09000000,2494.55000000,2492.39000000,2494.30000000,190.12330000
2025-07-01T01:09:00.000Z,2494.31000000,2494.84000000,2494.31000000,2494.84000000,71.52620000
2025-07-01T01:10:00.000Z,2494.83000000,2495.90000000,2494.35000000,2494.36000000,132.49950000
2025-07-01T01:11:00.000Z,2494.36000000,2494.86000000,2493.49000000,2493.78000000,73.11140000
2025-07-01T01:12:00.000Z,2493.77000000,2494.33000000,2493.58000000,2493.79000000,114.62300000
2025-07-01T01:13:00.000Z,2493.79000000,2495.60000000,2493.79000000,2495.35000000,130.37240000
2025-07-01T01:14:00.000Z,2495.36000000,2498.70000000,2495.35000000,2498.23000000,265.31940000
2025-07-01T01:15:00.000Z,2498.24000000,2498.76000000,2497.00000000,2497.29000000,189.27300000
2025-07-01T01:16:00.000Z,2497.30000000,2498.38000000,2497.30000000,2497.85000000,100.58890000
2025-07-01T01:17:00.000Z,2497.84000000,2497.84000000,2495.73000000,2496.65000000,131.56460000
2025-07-01T01:18:00.000Z,2496.66000000,2497.51000000,2496.65000000,2496.79000000,107.32810000
2025-07-01T01:19:00.000Z,2496.79000000,2498.12000000,2495.93000000,2497.87000000,90.29400000
2025-07-01T01:20:00.000Z,2497.86000000,2498.18000000,2495.41000000,2495.41000000,170.13690000
2025-07-01T01:21:00.000Z,2495.40000000,2496.00000000,2495.00000000,2495.69000000,157.41510000
2025-07-01T01:22:00.000Z,2495.70000000,2495.86000000,2495.23000000,2495.60000000,73.66180000
2025-07-01T01:23:00.000Z,2495.59000000,2496.59000000,2495.56000000,2495.97000000,140.37710000
2025-07-01T01:24:00.000Z,2495.96000000,2495.97000000,2495.56000000,2495.57000000,116.84650000
2025-07-01T01:25:00.000Z,2495.57000000,2495.57000000,2494.85000000,2494.90000000,264.77940000
2025-07-01T01:26:00.000Z,2494.91000000,2494.91000000,2492.03000000,2493.39000000,161.62100000
2025-07-01T01:27:00.000Z,2493.39000000,2494.82000000,2493.38000000,2493.67000000,115.06810000
2025-07-01T01:28:00.000Z,2493.65000000,2493.65000000,2492.22000000,2492.68000000,37.66800000
2025-07-01T01:29:00.000Z,2492.67000000,2493.16000000,2492.63000000,2493.16000000,220.59490000
2025-07-01T01:30:00.000Z,2493.16000000,2494.00000000,2493.16000000,2493.40000000,47.34050000
2025-07-01T01:31:00.000Z,2493.40000000,2493.40000000,2492.00000000,2492.15000000,106.68150000
2025-07-01T01:32:00.000Z,2492.15000000,2492.73000000,2492.15000000,2492.35000000,51.62910000
2025-07-01T01:33:00.000Z,2492.35000000,2495.10000000,2492.18000000,2495.10000000,120.80540000
2025-07-01T01:34:00.000Z,2495.11000000,2499.71000000,2495.10000000,2499.69000000,192.84220000
2025-07-01T01:35:00.000Z,2499.70000000,2500.80000000,2498.70000000,2498.71000000,420.52370000
2025-07-01T01:36:00.000Z,2498.70000000,2498.71000000,2497.09000000,2497.86000000,114.43850000
2025-07-01T01:37:00.000Z,2497.87000000,2498.12000000,2497.31000000,2497.44000000,126.21760000
2025-07-01T01:38:00.000Z,2497.42000000,2497.42000000,2496.09000000,2496.46000000,82.20620000
2025-07-01T01:39:00.000Z,2496.47000000,2496.86000000,2496.04000000,2496.85000000,50.90630000
2025-07-01T01:40:00.000Z,2496.85000000,2496.86000000,2495.00000000,2495.01000000,94.52650000
2025-07-01T01:41:00.000Z,2495.01000000,2495.01000000,2493.30000000,2494.27000000,72.95410000
2025-07-01T01:42:00.000Z,2494.31000000,2494.68000000,2493.93000000,2493.93000000,35.04790000
2025-07-01T01:43:00.000Z,2493.94000000,2493.94000000,2492.84000000,2492.91000000,91.83000000
2025-07-01T01:44:00.000Z,2492.91000000,2493.14000000,2492.62000000,2492.62000000,89.38970000
2025-07-01T01:45:00.000Z,2492.63000000,2493.82000000,2492.62000000,2493.81000000,92.05230000
2025-07-01T01:46:00.000Z,2493.81000000,2494.34000000,2493.32000000,2493.33000000,110.15600000
2025-07-01T01:47:00.000Z,2493.32000000,2495.35000000,2493.11000000,2494.21000000,89.05040000
2025-07-01T01:48:00.000Z,2494.20000000,2494.33000000,2493.58000000,2494.33000000,66.11140000
2025-07-01T01:49:00.000Z,2494.32000000,2494.84000000,2494.30000000,2494.32000000,61.49030000
2025-07-01T01:50:00.000Z,2494.32000000,2494.62000000,2493.86000000,2494.13000000,61.89840000
2025-07-01T01:51:00.000Z,2494.12000000,2494.13000000,2492.01000000,2492.01000000,98.69400000
2025-07-01T01:52:00.000Z,2492.00000000,2492.00000000,2488.01000000,2488.03000000,200.38720000
2025-07-01T01:53:00.000Z,2488.08000000,2490.00000000,2488.01000000,2489.51000000,117.36530000
2025-07-01T01:54:00.000Z,2489.52000000,2489.52000000,2487.20000000,2487.20000000,164.51530000
2025-07-01T01:55:00.000Z,2487.20000000,2488.56000000,2486.83000000,2488.50000000,88.00800000
2025-07-01T01:56:00.000Z,2488.50000000,2489.11000000,2488.33000000,2489.10000000,39.29930000
2025-07-01T01:57:00.000Z,2489.11000000,2489.83000000,2489.10000000,2489.37000000,81.45740000
2025-07-01T01:58:00.000Z,2489.37000000,2489.70000000,2487.70000000,2488.43000000,222.42860000
2025-07-01T01:59:00.000Z,2488.43000000,2488.78000000,2488.43000000,2488.78000000,25.69630000
2025-07-01T02:00:00.000Z,2488.79000000,2488.79000000,2487.47000000,2487.63000000,207.79320000
2025-07-01T02:01:00.000Z,2487.63000000,2487.93000000,2487.47000000,2487.92000000,22.62520000
2025-07-01T02:02:00.000Z,2487.92000000,2488.07000000,2487.28000000,2487.29000000,106.02910000
2025-07-01T02:03:00.000Z,2487.30000000,2487.30000000,2485.82000000,2486.16000000,222.78080000
2025-07-01T02:04:00.000Z,2486.17000000,2488.76000000,2486.16000000,2488.76000000,93.23350000
2025-07-01T02:05:00.000Z,2488.76000000,2491.73000000,2488.76000000,2491.49000000,188.59920000
2025-07-01T02:06:00.000Z,2491.49000000,2491.97000000,2490.91000000,2491.21000000,111.69790000
2025-07-01T02:07:00.000Z,2491.20000000,2491.20000000,2489.82000000,2489.82000000,86.65420000
2025-07-01T02:08:00.000Z,2489.82000000,2492.07000000,2489.82000000,2491.65000000,133.84530000
2025-07-01T02:09:00.000Z,2491.65000000,2492.59000000,2491.48000000,2491.58000000,38.97510000
2025-07-01T02:10:00.000Z,2491.57000000,2491.58000000,2491.20000000,2491.22000000,34.33960000
2025-07-01T02:11:00.000Z,2491.21000000,2492.53000000,2491.21000000,2492.53000000,79.91750000
2025-07-01T02:12:00.000Z,2492.52000000,2493.19000000,2491.84000000,2491.85000000,72.10540000
2025-07-01T02:13:00.000Z,2491.85000000,2491.85000000,2489.51000000,2489.51000000,63.33410000
2025-07-01T02:14:00.000Z,2489.50000000,2491.38000000,2489.23000000,2491.00000000,46.19910000
2025-07-01T02:15:00.000Z,2491.00000000,2491.01000000,2489.91000000,2490.94000000,49.72750000
2025-07-01T02:16:00.000Z,2490.94000000,2491.15000000,2490.27000000,2490.55000000,58.67940000
2025-07-01T02:17:00.000Z,2490.56000000,2492.70000000,2490.55000000,2491.67000000,120.48040000
2025-07-01T02:18:00.000Z,2491.66000000,2492.20000000,2490.48000000,2492.19000000,115.56660000
2025-07-01T02:19:00.000Z,2492.19000000,2492.84000000,2491.20000000,2491.20000000,50.96930000
2025-07-01T02:20:00.000Z,2491.20000000,2491.20000000,2489.70000000,2490.81000000,106.34980000
2025-07-01T02:21:00.000Z,2490.81000000,2491.10000000,2490.30000000,2490.51000000,34.87500000
2025-07-01T02:22:00.000Z,2490.50000000,2491.20000000,2490.10000000,2491.17000000,39.92300000
2025-07-01T02:23:00.000Z,2491.19000000,2492.00000000,2490.94000000,2491.64000000,38.07090000
2025-07-01T02:24:00.000Z,2491.65000000,2492.00000000,2491.64000000,2491.88000000,38.40230000
2025-07-01T02:25:00.000Z,2491.87000000,2493.20000000,2491.87000000,2492.64000000,37.94740000
2025-07-01T02:26:00.000Z,2492.64000000,2493.76000000,2492.64000000,2493.75000000,25.53540000
2025-07-01T02:27:00.000Z,2493.75000000,2494.70000000,2493.75000000,2494.65000000,120.14010000
2025-07-01T02:28:00.000Z,2494.64000000,2494.64000000,2493.55000000,2493.98000000,79.33970000
2025-07-01T02:29:00.000Z,2493.99000000,2494.64000000,2493.37000000,2494.63000000,51.66270000
2025-07-01T02:30:00.000Z,2494.64000000,2495.84000000,2494.63000000,2495.47000000,108.30040000
2025-07-01T02:31:00.000Z,2495.48000000,2495.70000000,2494.44000000,2494.44000000,224.06600000
2025-07-01T02:32:00.000Z,2494.44000000,2494.45000000,2492.41000000,2493.22000000,136.39760000
2025-07-01T02:33:00.000Z,2493.22000000,2493.74000000,2492.94000000,2493.60000000,30.86510000
2025-07-01T02:34:00.000Z,2493.61000000,2493.61000000,2492.22000000,2492.75000000,141.65490000
2025-07-01T02:35:00.000Z,2492.75000000,2492.84000000,2489.05000000,2489.09000000,116.24890000
2025-07-01T02:36:00.000Z,2489.07000000,2490.76000000,2488.26000000,2490.73000000,118.46380000
2025-07-01T02:37:00.000Z,2490.72000000,2491.26000000,2489.84000000,2489.84000000,50.47800000
2025-07-01T02:38:00.000Z,2489.85000000,2490.54000000,2489.40000000,2489.41000000,63.17810000
2025-07-01T02:39:00.000Z,2489.41000000,2489.83000000,2489.23000000,2489.23000000,40.02140000
2025-07-01T02:40:00.000Z,2489.24000000,2489.31000000,2488.24000000,2488.25000000,111.71830000
2025-07-01T02:41:00.000Z,2488.25000000,2488.73000000,2487.85000000,2487.85000000,82.44190000
2025-07-01T02:42:00.000Z,2487.86000000,2488.29000000,2486.94000000,2487.90000000,314.67420000
2025-07-01T02:43:00.000Z,2487.91000000,2487.91000000,2487.89000000,2487.90000000,37.04620000
2025-07-01T02:44:00.000Z,2487.90000000,2487.90000000,2487.44000000,2487.55000000,102.09210000
2025-07-01T02:45:00.000Z,2487.55000000,2487.55000000,2486.28000000,2486.77000000,43.59940000
2025-07-01T02:46:00.000Z,2486.78000000,2486.78000000,2485.60000000,2485.60000000,78.61760000
2025-07-01T02:47:00.000Z,2485.60000000,2486.78000000,2485.00000000,2486.29000000,748.43130000
2025-07-01T02:48:00.000Z,2486.29000000,2486.30000000,2485.00000000,2485.42000000,53.22670000
2025-07-01T02:49:00.000Z,2485.42000000,2486.34000000,2485.01000000,2486.08000000,154.49330000
2025-07-01T02:50:00.000Z,2486.09000000,2486.09000000,2484.20000000,2484.20000000,907.75210000
