datetime_utc,open,high,low,close,volume
2024-07-01T00:00:00.000Z,3438.16000000,3440.00000000,3438.16000000,3439.01000000,142.67140000
2024-07-01T00:01:00.000Z,3439.01000000,3439.98000000,3438.20000000,3438.21000000,100.95240000
2024-07-01T00:02:00.000Z,3438.21000000,3438.21000000,3437.35000000,3437.36000000,54.21920000
2024-07-01T00:03:00.000Z,3437.36000000,3438.38000000,3437.07000000,3437.65000000,170.59690000
2024-07-01T00:04:00.000Z,3437.65000000,3437.68000000,3437.01000000,3437.02000000,85.15740000
2024-07-01T00:05:00.000Z,3437.01000000,3439.37000000,3437.01000000,3439.22000000,92.96160000
2024-07-01T00:06:00.000Z,3439.21000000,3439.39000000,3437.27000000,3437.60000000,192.83770000
2024-07-01T00:07:00.000Z,3437.60000000,3438.48000000,3436.92000000,3436.93000000,95.92550000
2024-07-01T00:08:00.000Z,3436.93000000,3436.93000000,3435.85000000,3435.86000000,43.06730000
2024-07-01T00:09:00.000Z,3435.85000000,3435.86000000,3433.80000000,3433.81000000,164.38160000
2024-07-01T00:10:00.000Z,3433.80000000,3435.22000000,3432.80000000,3433.79000000,126.36250000
2024-07-01T00:11:00.000Z,3433.79000000,3433.79000000,3432.55000000,3432.56000000,76.93690000
2024-07-01T00:12:00.000Z,3432.55000000,3435.00000000,3432.55000000,3434.99000000,73.28810000
2024-07-01T00:13:00.000Z,3435.00000000,3435.56000000,3433.48000000,3433.48000000,421.41700000
2024-07-01T00:14:00.000Z,3433.49000000,3435.74000000,3433.49000000,3435.74000000,68.89130000
2024-07-01T00:15:00.000Z,3435.74000000,3436.00000000,3435.02000000,3435.10000000,43.98820000
2024-07-01T00:16:00.000Z,3435.10000000,3437.50000000,3435.09000000,3437.50000000,114.18380000
2024-07-01T00:17:00.000Z,3437.50000000,3438.89000000,3436.00000000,3437.15000000,154.97260000
2024-07-01T00:18:00.000Z,3437.15000000,3439.32000000,3437.15000000,3439.32000000,57.08540000
2024-07-01T00:19:00.000Z,3439.32000000,3439.91000000,3437.60000000,3438.27000000,91.80860000
2024-07-01T00:20:00.000Z,3438.27000000,3440.50000000,3438.27000000,3440.50000000,234.65900000
2024-07-01T00:21:00.000Z,3440.50000000,3442.46000000,3440.49000000,3441.08000000,245.66800000
2024-07-01T00:22:00.000Z,3441.08000000,3441.09000000,3439.02000000,3439.03000000,58.99510000
2024-07-01T00:23:00.000Z,3439.03000000,3440.40000000,3439.02000000,3440.39000000,116.12520000
