datetime_utc,open,high,low,close,volume
2024-06-01T00:00:00.000Z,67540.01000000,67585.89000000,67540.00000000,67573.41000000,11.67408000
2024-06-01T00:01:00.000Z,67573.41000000,67586.35000000,67561.40000000,67564.65000000,8.17416000
2024-06-01T00:02:00.000Z,67564.65000000,67582.90000000,67561.40000000,67582.90000000,9.24164000
2024-06-01T00:03:00.000Z,67582.90000000,67624.38000000,67582.89000000,67612.55000000,46.36648000
2024-06-01T00:04:00.000Z,67612.55000000,67655.00000000,67610.20000000,67647.88000000,31.94188000
2024-06-01T00:05:00.000Z,67647.88000000,67688.00000000,67638.20000000,67640.69000000,40.54574000
2024-06-01T00:06:00.000Z,67640.69000000,67640.69000000,67640.68000000,67640.69000000,1.14181000
2024-06-01T00:07:00.000Z,67640.69000000,67703.89000000,67640.68000000,67672.01000000,55.98827000
2024-06-01T00:08:00.000Z,67672.01000000,67672.01000000,67652.21000000,67652.22000000,16.83093000
2024-06-01T00:09:00.000Z,67652.22000000,67652.22000000,67614.20000000,67614.21000000,9.87548000
2024-06-01T00:10:00.000Z,67614.21000000,67620.77000000,67610.13000000,67620.77000000,6.05521000
2024-06-01T00:11:00.000Z,67620.77000000,67638.39000000,67616.00000000,67616.01000000,11.84620000
2024-06-01T00:12:00.000Z,67616.01000000,67616.01000000,67594.00000000,67594.01000000,8.67364000
2024-06-01T00:13:00.000Z,67594.01000000,67594.01000000,67566.80000000,67566.81000000,12.79236000
2024-06-01T00:14:00.000Z,67566.81000000,67586.61000000,67566.80000000,67586.61000000,3.36089000
2024-06-01T00:15:00.000Z,67586.61000000,67586.61000000,67553.40000000,67553.41000000,9.31531000
2024-06-01T00:16:00.000Z,67553.41000000,67553.41000000,67532.97000000,67540.00000000,12.92492000
2024-06-01T00:17:00.000Z,67540.00000000,67540.00000000,67514.22000000,67514.22000000,6.78714000
2024-06-01T00:18:00.000Z,67514.22000000,67519.67000000,67507.39000000,67519.67000000,4.49600000
2024-06-01T00:19:00.000Z,67519.67000000,67529.45000000,67512.11000000,67529.45000000,6.09558000
2024-06-01T00:20:00.000Z,67529.45000000,67529.45000000,67510.80000000,67510.81000000,7.66459000
2024-06-01T00:21:00.000Z,67510.81000000,67524.00000000,67510.80000000,67524.00000000,4.52023000
2024-06-01T00:22:00.000Z,67524.00000000,67524.00000000,67511.96000000,67511.97000000,3.26915000
2024-06-01T00:23:00.000Z,67511.97000000,67511.97000000,67511.96000000,67511.97000000,4.86988000
2024-06-01T00:24:00.000Z,67511.97000000,67511.97000000,67511.96000000,67511.97000000,3.52690000
2024-06-01T00:25:00.000Z,67511.97000000,67525.00000000,67511.96000000,67525.00000000,3.71431000
2024-06-01T00:26:00.000Z,67525.00000000,67538.98000000,67524.99000000,67538.98000000,4.53516000
2024-06-01T00:27:00.000Z,67538.98000000,67538.98000000,67538.97000000,67538.98000000,1.69788000
2024-06-01T00:28:00.000Z,67538.98000000,67559.73000000,67538.97000000,67559.73000000,4.74801000
2024-06-01T00:29:00.000Z,67559.73000000,67559.73000000,67553.89000000,67559.73000000,4.44427000
2024-06-01T00:30:00.000Z,67559.73000000,67606.88000000,67559.72000000,67606.87000000,36.78933000
2024-06-01T00:31:00.000Z,67606.87000000,67630.00000000,67606.86000000,67630.00000000,23.61421000
2024-06-01T00:32:00.000Z,67630.00000000,67635.00000000,67628.00000000,67628.01000000,10.30858000
2024-06-01T00:33:00.000Z,67628.01000000,67636.28000000,67612.00000000,67636.28000000,10.77706000
2024-06-01T00:34:00.000Z,67636.28000000,67636.28000000,67612.00000000,67612.01000000,8.88174000
2024-06-01T00:35:00.000Z,67612.01000000,67612.01000000,67575.00000000,67580.03000000,6.80997000
2024-06-01T00:36:00.000Z,67580.03000000,67580.03000000,67552.00000000,67552.01000000,5.53284000
2024-06-01T00:37:00.000Z,67552.01000000,67575.00000000,67552.00000000,67575.00000000,5.32139000
2024-06-01T00:38:00.000Z,67575.00000000,67588.49000000,67574.99000000,67588.49000000,4.69266000
2024-06-01T00:39:00.000Z,67588.49000000,67588.49000000,67588.47000000,67588.48000000,3.02775000
2024-06-01T00:40:00.000Z,67588.48000000,67592.66000000,67581.81000000,67592.66000000,6.80302000
2024-06-01T00:41:00.000Z,67592.66000000,67627.26000000,67592.66000000,67627.26000000,3.25248000
2024-06-01T00:42:00.000Z,67627.25000000,67627.26000000,67615.30000000,67615.31000000,5.53379000
2024-06-01T00:43:00.000Z,67615.31000000,67615.31000000,67594.99000000,67595.00000000,6.32790000
2024-06-01T00:44:00.000Z,67595.00000000,67603.06000000,67594.99000000,67603.06000000,1.65716000
2024-06-01T00:45:00.000Z,67603.06000000,67612.00000000,67603.05000000,67603.06000000,2.64477000
2024-06-01T00:46:00.000Z,67603.06000000,67664.60000000,67603.05000000,67664.60000000,13.19452000
2024-06-01T00:47:00.000Z,67664.60000000,67664.60000000,67644.00000000,67648.38000000,10.34605000
2024-06-01T00:48:00.000Z,67648.38000000,67648.38000000,67629.00000000,67629.01000000,4.38092000
2024-06-01T00:49:00.000Z,67629.01000000,67650.00000000,67626.49000000,67650.00000000,6.85021000
2024-06-01T00:50:00.000Z,67650.00000000,67671.69000000,67649.99000000,67671.69000000,4.68045000
2024-06-01T00:51:00.000Z,67671.69000000,67689.64000000,67671.68000000,67685.41000000,5.15100000
2024-06-01T00:52:00.000Z,67685.41000000,67685.41000000,67672.00000000,67672.01000000,2.93682000
2024-06-01T00:53:00.000Z,67672.01000000,67677.55000000,67672.00000000,67677.55000000,1.41098000
2024-06-01T00:54:00.000Z,67677.54000000,67677.55000000,67677.53000000,67677.54000000,2.07452000
2024-06-01T00:55:00.000Z,67677.54000000,67677.54000000,67655.65000000,67655.66000000,11.10062000
2024-06-01T00:56:00.000Z,67655.66000000,67655.66000000,67655.65000000,67655.66000000,1.68817000
2024-06-01T00:57:00.000Z,67655.66000000,67655.66000000,67650.20000000,67650.21000000,3.72738000
2024-06-01T00:58:00.000Z,67650.21000000,67650.21000000,67650.20000000,67650.21000000,0.91758000
2024-06-01T00:59:00.000Z,67650.21000000,67655.66000000,67650.20000000,67655.66000000,2.31877000
2024-06-01T01:00:00.000Z,67655.66000000,67656.00000000,67645.19000000,67651.87000000,23.30249000
2024-06-01T01:01:00.000Z,67651.86000000,67662.88000000,67646.89000000,67662.88000000,5.69643000
2024-06-01T01:02:00.000Z,67662.88000000,67666.93000000,67662.87000000,67666.93000000,4.42329000
2024-06-01T01:03:00.000Z,67666.93000000,67680.00000000,67666.92000000,67680.00000000,3.33272000
2024-06-01T01:04:00.000Z,67680.00000000,67710.29000000,67679.99000000,67681.01000000,19.57268000
2024-06-01T01:05:00.000Z,67681.01000000,67692.00000000,67680.54000000,67680.55000000,9.40103000
2024-06-01T01:06:00.000Z,67680.55000000,67680.55000000,67665.00000000,67665.01000000,6.54998000
2024-06-01T01:07:00.000Z,67665.01000000,67665.01000000,67626.54000000,67626.55000000,7.36178000
2024-06-01T01:08:00.000Z,67626.55000000,67626.55000000,67600.00000000,67600.01000000,6.63987000
2024-06-01T01:09:00.000Z,67600.01000000,67635.00000000,67600.00000000,67635.00000000,6.76120000
2024-06-01T01:10:00.000Z,67635.00000000,67663.99000000,67635.00000000,67659.10000000,4.98702000
2024-06-01T01:11:00.000Z,67659.10000000,67659.10000000,67625.44000000,67625.45000000,11.47855000
2024-06-01T01:12:00.000Z,67625.45000000,67625.45000000,67618.84000000,67618.86000000,6.58663000
